Month,Date,Day of the Week,Daily Followers,Accumulated Followers
August,2024-08-01,Thursday,14,5764
August,2024-08-02,Friday,34,5798
August,2024-08-03,Saturday,26,5824
August,2024-08-04,Sunday,38,5862
August,2024-08-05,Monday,40,5902
August,2024-08-06,Tuesday,23,5925
August,2024-08-07,Wednesday,26,5951
August,2024-08-08,Thursday,25,5976
August,2024-08-09,Friday,24,6000
August,2024-08-10,Saturday,6,6006
August,2024-08-11,Sunday,38,6044
August,2024-08-12,Monday,34,6078
August,2024-08-13,Tuesday,37,6115
August,2024-08-14,Wednesday,18,6133
August,2024-08-15,Thursday,21,6154
August,2024-08-16,Friday,23,6177
August,2024-08-17,Saturday,11,6188
August,2024-08-18,Sunday,38,6226
August,2024-08-19,Monday,31,6257
August,2024-08-20,Tuesday,42,6299
August,2024-08-21,Wednesday,44,6343
August,2024-08-22,Thursday,33,6376
August,2024-08-23,Friday,20,6396
August,2024-08-24,Saturday,27,6423
August,2024-08-25,Sunday,22,6445
August,2024-08-26,Monday,30,6475
August,2024-08-27,Tuesday,23,6498
August,2024-08-28,Wednesday,15,6513
August,2024-08-29,Thursday,20,6533
August,2024-08-30,Friday,25,6558
August,2024-08-31,Saturday,15,6573
September,2024-09-01,Sunday,29,6602
September,2024-09-02,Monday,27,6629
September,2024-09-03,Tuesday,34,6663
September,2024-09-04,Wednesday,7,6670
September,2024-09-05,Thursday,10,6680
September,2024-09-06,Friday,20,6700
September,2024-09-07,Saturday,12,6712
September,2024-09-08,Sunday,12,6724
September,2024-09-09,Monday,30,6754
September,2024-09-10,Tuesday,13,6767
September,2024-09-11,Wednesday,13,6780
September,2024-09-12,Thursday,31,6811
September,2024-09-13,Friday,34,6845
September,2024-09-14,Saturday,24,6869
September,2024-09-15,Sunday,23,6892
September,2024-09-16,Monday,34,6926
September,2024-09-17,Tuesday,21,6947
September,2024-09-18,Wednesday,6,6953
September,2024-09-19,Thursday,47,7000
September,2024-09-20,Friday,13,7013
September,2024-09-21,Saturday,18,7031
September,2024-09-22,Sunday,20,7051
September,2024-09-23,Monday,29,7080
September,2024-09-24,Tuesday,35,7115
September,2024-09-25,Wednesday,20,7135
September,2024-09-26,Thursday,33,7168
September,2024-09-27,Friday,38,7206
September,2024-09-28,Saturday,22,7228
September,2024-09-29,Sunday,22,7250
September,2024-09-30,Monday,20,7270
October,2024-10-01,Tuesday,30,7300
October,2024-10-02,Wednesday,22,7322
October,2024-10-03,Thursday,33,7355
October,2024-10-04,Friday,24,7379
October,2024-10-05,Saturday,15,7394
October,2024-10-06,Sunday,31,7425
October,2024-10-07,Monday,27,7452
October,2024-10-08,Tuesday,26,7478
October,2024-10-09,Wednesday,32,7510
October,2024-10-10,Thursday,17,7527
October,2024-10-11,Friday,4,7531
October,2024-10-12,Saturday,34,7565
October,2024-10-13,Sunday,26,7591
October,2024-10-14,Monday,36,7627
October,2024-10-15,Tuesday,28,7655
October,2024-10-16,Wednesday,19,7674
October,2024-10-17,Thursday,15,7689
October,2024-10-18,Friday,4,7693
October,2024-10-19,Saturday,2,7695
October,2024-10-20,Sunday,9,7704
October,2024-10-21,Monday,7,7711
October,2024-10-22,Tuesday,25,7736
October,2024-10-23,Wednesday,49,7785
October,2024-10-24,Thursday,40,7825
October,2024-10-25,Friday,17,7842
October,2024-10-26,Saturday,23,7865
October,2024-10-27,Sunday,29,7894
October,2024-10-28,Monday,35,7929
October,2024-10-29,Tuesday,47,7976
October,2024-10-30,Wednesday,43,8019
October,2024-10-31,Thursday,20,8039
November,2024-11-01,Friday,23,8062
November,2024-11-02,Saturday,22,8084
November,2024-11-03,Sunday,26,8110
November,2024-11-04,Monday,12,8122
November,2024-11-05,Tuesday,10,8132
November,2024-11-06,Wednesday,9,8141
November,2024-11-07,Thursday,24,8165
November,2024-11-08,Friday,21,8186
November,2024-11-09,Saturday,16,8202
November,2024-11-10,Sunday,21,8223
November,2024-11-11,Monday,9,8232
November,2024-11-12,Tuesday,12,8244
November,2024-11-13,Wednesday,10,8254
November,2024-11-14,Thursday,7,8261
November,2024-11-15,Friday,10,8271
November,2024-11-16,Saturday,19,8290
November,2024-11-17,Sunday,22,8312
November,2024-11-18,Monday,1,8313
November,2024-11-19,Tuesday,3,8316
November,2024-11-20,Wednesday,9,8325
November,2024-11-21,Thursday,10,8335
November,2024-11-22,Friday,5,8340
November,2024-11-23,Saturday,8,8348
November,2024-11-24,Sunday,13,8361
November,2024-11-25,Monday,3,8364
November,2024-11-26,Tuesday,9,8373
