Month,Date,Day of the Week,Reach,Total_interactions,Accounts_engaged,Likes,Comments,Saves,Shares,Replies,Follower_count,Profile_links_taps
April,09/04/2025,Wednesday,744,248,115,88,133,26,1,0,17,0
April,08/04/2025,Tuesday,713,288,148,114,150,24,0,0,29,0
April,07/04/2025,Monday,1141,339,219,217,93,28,1,0,22,0
April,06/04/2025,Sunday,1634,283,120,68,199,16,0,0,22,0
April,05/04/2025,Saturday,559,128,79,46,73,9,0,0,12,0
April,04/04/2025,Friday,1133,357,229,214,115,27,1,0,6,0
April,03/04/2025,Thursday,357,79,51,31,45,3,0,0,6,0
April,02/04/2025,Wednesday,537,362,90,55,302,5,0,0,16,0
April,01/04/2025,Tuesday,1288,353,222,207,123,22,1,0,12,0
March,31/03/2025,Monday,420,53,38,36,13,4,0,0,13,0
March,30/03/2025,Sunday,527,108,68,81,8,19,0,0,32,0
March,29/03/2025,Saturday,646,149,106,96,16,37,0,0,68,0
March,28/03/2025,Friday,782,295,185,192,73,30,0,0,67,0
March,27/03/2025,Thursday,435,123,68,101,18,4,0,0,19,2
May,09/05/2025,Friday,57,1,13,1,0,0,0,0,0,0
May,08/05/2025,Thursday,395,45,55,31,5,9,0,0,0,0
May,07/05/2025,Wednesday,656,286,99,70,203,13,0,0,0,0
May,06/05/2025,Tuesday,1972,459,283,265,139,54,1,0,0,0
May,05/05/2025,Monday,365,221,64,62,134,25,0,0,4,0
May,04/05/2025,Sunday,951,250,136,141,94,15,0,0,5,0
May,03/05/2025,Saturday,932,237,70,34,199,4,0,0,8,0
May,02/05/2025,Friday,2033,288,185,186,86,16,0,0,6,1
May,01/05/2025,Thursday,441,112,57,36,72,4,0,0,5,0
April,30/04/2025,Wednesday,403,208,80,53,136,19,0,0,7,0
April,29/04/2025,Tuesday,795,368,198,240,106,22,0,0,7,0
April,28/04/2025,Monday,383,35,45,25,6,4,0,0,8,0
April,27/04/2025,Sunday,461,182,80,40,95,47,0,0,7,0
April,26/04/2025,Saturday,583,208,91,49,150,9,0,0,6,0
April,25/04/2025,Friday,1380,333,225,222,85,26,0,0,8,0
April,24/04/2025,Thursday,356,82,53,26,50,6,0,0,9,0
April,23/04/2025,Wednesday,502,281,106,74,188,19,0,0,5,0
April,22/04/2025,Tuesday,1650,526,255,248,241,37,0,0,10,0
April,21/04/2025,Monday,493,171,52,82,19,70,0,0,4,0
April,20/04/2025,Sunday,1223,253,142,151,54,48,0,0,8,0
April,19/04/2025,Saturday,360,43,48,15,19,9,0,0,12,0
April,18/04/2025,Friday,485,79,75,53,22,4,0,0,26,0
April,17/04/2025,Thursday,451,115,65,21,88,6,0,0,19,0
April,16/04/2025,Wednesday,844,139,102,86,38,15,0,0,18,0
April,15/04/2025,Tuesday,873,177,114,112,45,19,1,0,41,0
April,14/04/2025,Monday,413,37,63,31,2,3,1,0,22,0
April,13/04/2025,Sunday,379,40,58,32,3,5,0,0,18,0
April,12/04/2025,Saturday,418,53,64,39,3,11,0,0,15,0
April,11/04/2025,Friday,513,97,90,71,15,11,0,0,53,0
April,10/04/2025,Thursday,473,63,68,35,15,13,0,0,13,0
