Date,Month,Day of the Week,Daily Followers,Accumulated Followers
2024-08-01,August,Thursday,14,5778
2024-08-02,August,Friday,34,5812
2024-08-03,August,Saturday,26,5838
2024-08-04,August,Sunday,38,5876
2024-08-05,August,Monday,40,5916
2024-08-06,August,Tuesday,23,5939
2024-08-07,August,Wednesday,26,5965
2024-08-08,August,Thursday,25,5990
2024-08-09,August,Friday,24,6014
2024-08-10,August,Saturday,6,6020
2024-08-11,August,Sunday,38,6058
2024-08-12,August,Monday,34,6092
2024-08-13,August,Tuesday,37,6129
2024-08-14,August,Wednesday,18,6147
2024-08-15,August,Thursday,21,6168
2024-08-16,August,Friday,23,6191
2024-08-17,August,Saturday,11,6202
2024-08-18,August,Sunday,38,6240
2024-08-19,August,Monday,31,6271
2024-08-20,August,Tuesday,42,6313
2024-08-21,August,Wednesday,44,6357
2024-08-22,August,Thursday,33,6390
2024-08-23,August,Friday,20,6410
2024-08-24,August,Saturday,27,6437
2024-08-25,August,Sunday,22,6459
2024-08-26,August,Monday,30,6489
2024-08-27,August,Tuesday,23,6512
2024-08-28,August,Wednesday,15,6527
2024-08-29,August,Thursday,20,6547
2024-08-30,August,Friday,25,6572
2024-08-31,August,Saturday,15,6587
2024-09-01,September,Sunday,29,6616
2024-09-02,September,Monday,27,6643
2024-09-03,September,Tuesday,34,6677
2024-09-04,September,Wednesday,7,6684
2024-09-05,September,Thursday,10,6694
2024-09-06,September,Friday,20,6714
2024-09-07,September,Saturday,12,6726
2024-09-08,September,Sunday,12,6738
2024-09-09,September,Monday,30,6768
2024-09-10,September,Tuesday,13,6781
2024-09-11,September,Wednesday,13,6794
2024-09-12,September,Thursday,31,6825
2024-09-13,September,Friday,34,6859
2024-09-14,September,Saturday,24,6883
2024-09-15,September,Sunday,23,6906
2024-09-16,September,Monday,34,6940
2024-09-17,September,Tuesday,21,6961
2024-09-18,September,Wednesday,6,6967
2024-09-19,September,Thursday,47,7014
2024-09-20,September,Friday,13,7027
2024-09-21,September,Saturday,18,7045
2024-09-22,September,Sunday,20,7065
2024-09-23,September,Monday,29,7094
2024-09-24,September,Tuesday,35,7129
2024-09-25,September,Wednesday,20,7149
2024-09-26,September,Thursday,33,7182
2024-09-27,September,Friday,38,7220
2024-09-28,September,Saturday,22,7242
2024-09-29,September,Sunday,22,7264
2024-09-30,September,Monday,20,7284
2024-10-01,October,Tuesday,30,7314
2024-10-02,October,Wednesday,22,7336
2024-10-03,October,Thursday,33,7369
2024-10-04,October,Friday,24,7393
2024-10-05,October,Saturday,15,7408
2024-10-06,October,Sunday,31,7439
2024-10-07,October,Monday,27,7466
2024-10-08,October,Tuesday,26,7492
2024-10-09,October,Wednesday,32,7524
2024-10-10,October,Thursday,17,7541
2024-10-11,October,Friday,4,7545
